UniqueCount	AmbigCount
1	3
0	0
0	208
0	0
0	9
0	2
0	0
0	5
0	1
0	0
0	0
0	0
0	1
0	0
9	41
0	0
0	12
0	1
0	1
0	27
90	72
4	143
0	7
0	18
658	46
0	22
0	184
3	3
1	22
2	30
0	1
1	1
0	0
3	193
0	48
0	64
0	52
0	33
0	11
45	31
0	0
0	9
0	2
0	0
0	2
0	0
0	15
0	0
0	5
2	12
2	17
0	5
0	5
16	9
0	106
0	73
0	113
0	48
0	16
0	14
0	41
1	62
0	18
35	28
0	58
0	48
4	1
0	2
0	154
1	8
0	0
0	0
0	68
1	221
0	1
0	1
0	5
0	5
0	23
2	33
0	1
0	1
0	13
0	5
0	0
0	16
0	11
0	5
0	5
0	0
0	0
0	201
512	9924
10	51351
0	90
1	1115
3	121
1207	13944
0	2251
0	0
1	68
82	1230
0	13
0	0
0	1
0	13
0	12
0	11
0	6
0	11
0	11
0	5
0	11
0	8
0	15
0	8
0	8
0	8
0	4
0	10
0	6
3	4
0	10
11	10
0	4
0	2
1	3
0	6
0	6
0	6
0	6
0	6
0	6
0	5
1	25
0	17
2	17
0	1
5	0
0	0
9	1
1	9
1	8
75	338
16	56
0	367
12	33
4	364
0	14
0	367
17	67
0	118
0	37
0	44
2	7
0	25
1	178
0	201
0	29
0	36
2	164
0	13
0	137
1	13
0	10
0	27
0	6
3	1
12	2
1	3
18	3
4	14
1	2
0	5
0	1
2	0
0	0
7	2
0	0
138	25
0	17
0	8
26	23
0	11
0	129
0	87
2	128
0	110
0	117
0	121
0	98
0	84
0	104
0	106
6	65
0	2
1	33
7	16
5	6
69	426
8	120
55	356
0	0
19	163
19	13
19	28
1	24
7	4
1	16
4	1
3	4
0	4
0	3
0	1
0	1
0	3
0	3
0	3
52	0
1	34
0	32
12	25
0	16
2	16
0	12
81	13
1	0
0	0
3	2239
0	2073
0	2044
0	1878
0	133
3	79
5	15
0	3
8	21
48	365
0	7
0	23
0	9
0	8
2	0
0	8
0	2
2	0
4	5
1	40
0	28
0	35
0	35
5	28
7	39
3	35
0	3
0	23
2	11
0	10
0	10
0	2
0	3
0	1
0	2
0	2
2	1
0	1
7	16
0	0
1	0
0	0
0	0
10	0
7	17
1	31
0	31
1	14
0	4
11	12
0	4
0	1
1	1
0	7
4	10
1	5
0	9
4	2
3	2
0	0
0	792
0	733
2	574
0	733
66	325
10	296
0	151
0	138
134	0
0	0
0	0
1	0
0	0
1	0
6	3
1	169
0	200
0	174
0	96
3	97
0	85
1	81
21	4
0	77
4	80
0	6
0	17
0	36
0	30
0	32
1	2
0	12
1	18
16	10
17	2
3	2
4	1
0	19
0	16
0	18
0	18
2	2
0	18
0	0
1	3
52	325
8	361
13	221
0	244
1	3
0	23
0	39
9	3
26	117
1	47
39	17
0	9
3	1
0	0
14	46
3	27
2	18
1	33
0	10
8	117
0	246
0	243
0	146
0	177
0	30
0	181
0	308
0	146
55	157
26	93
0	130
0	241
0	149
0	122
0	271
0	226
0	48
1	24
5	25
0	236
0	29
0	40
0	38
1	19
0	36
0	139
0	4
3	6
0	149
2	40
0	33
0	86
0	86
0	90
0	7
3	4
1	34
0	169
3	149
4	45
0	77
0	72
0	55
0	35
0	86
0	32
0	3
0	3
1	5
0	0
26	0
2	28
45	37
2	11
27	0
1	270
2	277
0	174
2	41
0	56
3	19
5	7
2	9
0	0
0	273
5	705
0	1141
5	884
