UniqueCount	AmbigCount
3	3
0	0
1	223
0	0
0	7
0	0
0	0
0	5
0	4
0	0
0	0
0	0
0	0
0	0
25	46
0	2
0	20
0	8
0	2
0	33
112	88
9	137
2	19
0	60
1158	103
0	50
4	289
18	17
0	12
9	83
0	4
7	6
0	0
3	231
0	58
1	100
0	71
0	56
0	10
74	67
1	0
0	3
0	5
0	1
0	6
0	1
0	42
0	0
0	3
11	16
11	14
0	4
0	2
60	24
1	212
0	122
0	213
2	141
0	36
0	36
16	87
0	134
0	45
41	82
0	131
2	55
3	1
0	23
0	271
7	24
0	0
0	3
0	67
1	232
0	1
0	0
0	5
0	21
1	19
8	65
0	4
0	4
0	20
0	3
0	1
0	22
0	16
0	4
0	3
0	5
0	1
2	664
850	19031
11	60299
0	57
0	1788
2	167
2295	20795
2	4340
0	0
1	82
95	1657
0	11
0	0
1	6
0	5
0	7
0	7
0	1
0	7
0	10
3	5
0	7
0	7
0	20
0	7
0	7
0	7
0	1
0	5
0	5
3	2
0	9
11	9
0	5
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
1	37
0	6
8	7
0	0
7	4
0	3
2	2
1	13
0	18
81	323
16	76
2	385
23	31
1	341
0	24
0	342
14	68
0	127
0	34
0	38
0	11
0	27
0	192
0	229
0	25
0	31
1	180
0	22
0	167
1	23
0	22
0	40
0	8
2	2
20	4
2	2
13	3
2	5
0	2
0	2
0	0
0	0
0	0
2	3
0	0
16	3
0	1
0	2
4	2
0	1
0	26
0	28
0	29
0	29
0	30
0	29
0	28
0	28
0	30
0	26
0	8
0	0
0	2
0	1
0	1
67	481
5	146
57	435
0	0
14	191
17	24
9	15
2	17
3	2
0	10
2	1
10	11
1	10
0	7
0	0
0	2
0	3
0	3
0	3
61	0
2	57
0	50
13	48
0	28
1	58
0	47
127	57
0	0
0	0
2	1989
0	1870
0	1758
0	1639
0	113
9	88
3	19
0	4
6	32
37	252
0	10
3	46
0	25
0	24
3	0
0	16
0	8
2	0
8	12
0	32
0	23
0	31
0	27
10	22
4	35
0	29
0	6
2	25
2	9
0	9
0	10
1	3
0	5
0	3
0	1
0	0
3	1
4	1
3	12
1	0
0	0
1	0
0	0
7	0
58	40
0	52
0	51
4	38
0	7
17	36
3	9
0	2
0	1
0	5
4	7
2	1
0	7
5	9
4	9
0	0
0	646
2	619
0	506
0	619
71	291
4	255
0	178
0	123
106	0
0	2
0	1
0	2
0	3
0	2
16	0
1	188
0	224
0	186
0	115
0	115
0	121
0	96
24	13
0	89
4	107
0	21
0	20
0	43
0	34
5	33
1	5
1	16
1	24
10	14
27	4
2	2
3	0
0	11
0	10
0	10
0	10
0	5
0	10
0	1
1	0
24	243
4	240
1	135
0	193
3	4
1	20
3	31
3	4
22	93
0	40
17	20
0	8
1	1
0	0
9	20
0	14
1	17
1	20
0	5
6	125
0	274
0	274
0	169
0	142
0	15
0	213
0	311
0	169
87	203
21	102
1	140
0	274
0	174
0	125
0	273
0	266
0	55
3	30
1	32
0	249
0	37
0	61
0	53
1	30
0	63
0	137
0	9
2	12
1	146
4	59
0	46
0	101
0	96
1	99
2	6
6	2
0	45
0	147
4	117
4	60
0	89
0	68
0	48
0	32
0	54
1	31
0	5
0	8
1	4
0	0
24	1
2	22
36	29
1	8
10	0
2	310
1	318
0	185
0	40
0	67
3	34
6	6
4	16
0	0
0	101
3	238
0	389
3	303
1	301
0	47
1	37
5	84
0	9
0	2
1	68
63	54
0	58
9	70
1	17
0	6
0	0
0	765
16	1060
11	731
15	506
30	2207
0	1226
0	596
16	1500
0	1608
0	395
0	727
0	131
3	107
1	137
16	232
0	600
30	52
2	200
13	28
0	68
0	62
0	45
2	44
0	62
1	7
0	8
0	47
7	40
0	11
147	235
1	64
38	110
6	17
40	192
0	29
0	3
15	30
1	88
0	99
1	102
0	34
12	30
2	3
0	0
0	0
0	0
1	0
0	0
4	22
4	107
58	126
1	4
26	54
0	0
9	7
3	198
0	89
47	184
1	39
58	77
37	49
1	4
0	0
0	168
13	111
0	160
0	133
0	143
0	12
1	32
0	29
0	3
0	3
0	0
287	349
8	219
2	144
308	58
2	52
21	155
0	0
10	0
5	0
54	4
0	137
0	152
0	120
0	151
39	152
1	128
0	157
14	33
0	10
1	145
1	31
0	113
1	14
0	1
0	30
0	147
3	98
0	21
0	119
6	113
2	3
3	3
0	107
2	35
0	15
0	8
2	32
0	47
0	30
2	30
0	16
7	13
1	9
0	40
0	30
0	32
0	20
0	9
0	14
0	14
0	1
1	0
0	671
0	649
0	573
0	633
0	598
1	517
0	519
0	517
0	158
0	10
0	141
4	1002
1	1021
31	392
20	208
61	14
16	9
0	32
29	712
0	616
3	71
0	431
0	592
0	490
0	552
0	657
0	685
0	676
15	25
4	52
1	29
0	9
3	109
0	9
2	24
4	114
0	103
8	186
3	24
0	13
7	10
118	563
2	1
0	138
0	0
0	7
0	134
0	141
32	535
0	29
0	144
0	88
4	684
1	637
41	602
16	314
0	12
0	122
2	40
0	24
30	124
0	37
3	21
0	91
30	125
3	111
14	110
11	75
2	4
10	4443
0	3957
70	4711
100	363
6	860
3	503
1	824
1	264
0	26
1	110
1	0
0	0
0	0
0	0
0	0
0	4
0	4
0	1
0	1
1	0
0	0
0	99
0	211
9	39
0	38
0	3
19	151
0	114
0	18
15	86
1	1
0	1
0	0
0	1
0	2
0	2
0	2
0	2
0	1
0	1
0	1
0	1
0	2
0	0
0	2
0	0
0	0
4	32
0	0
0	1
0	0
0	1
0	0
0	0
26	464
0	37
2	6
2	9
0	9
1	6
1	437
2	16
0	421
0	47
0	72
0	49
0	72
1	54
1	122
1	80
0	55
0	38
3	17
0	62
0	14
0	376
5	86
2	312
6	159
0	25
26	63
38	1
13	1
0	55
6	106
0	70
0	71
0	17
40	83
0	7
0	12
0	19
15	58
2	10
0	10
0	26
1	3
2	3
1	0
2409	53
0	1
0	33
4	20
0	4
30	6
3	95
3	82
4	83
0	4
3	28
0	10
8	29
0	44
9	21
0	2
0	3
2	0
30	0
0	0
1	1
17	686
0	70
1	838
0	203
17	11
0	392
0	140
126	234
3	53
0	210
0	217
0	93
0	97
0	21
0	9
1	1
0	1
1	5
8	2
0	83
0	73
0	73
0	80
0	57
0	39
0	23
0	0
0	0
2	213
0	168
1	98
1	18
1	1
5	2
4	2
1	10
0	93
3	39
1	0
2	6
1	0
1	6
0	6
0	35
0	5
51	83
3	10
25	51
2	15
0	113
2	142
8	172
1	142
3	119
1	312
0	198
4	126
0	148
57	119
57	287
0	273
0	30
4	86
2	0
4	22
0	2
0	0
0	17
0	21
0	166
0	164
0	171
0	166
0	61
0	173
0	26
0	23
0	5
0	8
0	132
0	5
0	123
0	5
0	19
0	14
0	14
0	3
0	4
3	1
3	0
0	0
0	0
29	4
0	3
1	0
75	0
0	0
0	0
0	0
0	0
0	0
0	0
3	5
1	5
0	0
0	2
8	10
0	1
0	7
0	0
0	1
0	2
1	127
0	27
0	160
60	164
0	120
0	93
0	0
0	97
0	22
2	7
0	0
0	0
4	12
2	0
1	0
2	0
16	35
0	35
0	35
0	7
1	0
0	3
2	20
0	0
182	315
33	261
3	7
2	288
1	16
0	20
2	4
0	0
1	0
172	348
0	348
4	51
7	52
73	18
1	30
1	14
2	6
0	4
0	25
0	21
0	4
0	106
0	83
0	59
0	88
0	84
0	38
0	34
0	42
0	31
0	89
2	19
0	0
0	43
0	19
0	0
1	0
0	32
0	7
0	119
0	93
0	132
16	373
0	66
0	2
0	166
0	1
0	164
9	199
0	281
0	265
0	87
0	127
0	128
0	118
1	187
0	239
0	106
0	15
0	30
0	7
0	151
0	112
7	39
0	91
2	4
0	0
3	20
0	0
0	0
0	2
1	2
0	2
1	0
228	122
7	85
3	6
2	0
7	4
308	554
1	15
0	55
1	51
0	13
0	35
0	325
0	6
